code,name,synonyms,unit,tables,comments,examples
FOLC,"folate, conjugated",,mcg,,Sum of polyglutamic forms of folates.,
XFOLAC,Conversion factor for dietary folate equivalent of synthetic folic acid,,none,,Conventionally 1.7,
THF,tetrahydrofolate,tetrahydrofolic acid,mcg,, Natural tetrahydrofolates occur only in the (6S)-form,
5MTHF,5-Methyltetrahydrofolate,,mcg,,,
5FTHF,5-Formyltetrahydrofolate,"(6S)-5-formyl-5,6,7,8-tetrahydrofolic acid",mcg,,,
5MDHF,"(6R,S)-5-methyl-5,6-
dihydrofolic acid",,mcg,,,
10FDHF,10-formyldihydrofolate,,mcg,,,
DHF,"7,8-dihydrofolic acid;",,mcg,,,
10FFOLAC,10-formylfolic acid ,,mcg,,,
FOL-,"Folate, method unknown or variable",,mcg,,,
XTRP,Conversion factor for niacin equivalent of tryptophan,,none,,Conventionally 1/60,
VITB6-,"vitamin B-6, total; method unknown or variable",,mg,,,
PYRXNHCL,Pyridoxine HCl,,,,Fortificant form of vitamin B6,
VITC-,vitamin C; method unknown or variable,,mg,,,
AVEDT,"avenasterol, total",,mg,,From COST ,
CAMT,"campesterol, total",,mg,,From COST ,
FUCSTR,fucosterol,,mg,,From COST,
PHYTSTRU,"phytosterol, unsaturated",,mg?,,Phytosterol with at least one double bond in the sterol ring.,
STGSTR,"stigmasterol, unspecified",,mg,,From COST,
LIGNANS,"lignans, total",,mg,,From COST. ,
MATAIRES,matairesinol,,mg,,From COST ,
SECORES,secoisolarisiresinol,,mg,,From COST ,
