code,name,synonyms,unit,tables,comments,examples
"AAE10AP","amino acids, total essential; expressed per quantity of protein; includes the eight basic essential amino acids plus arginine and histidine","","mg/100 g protein","","Arginine and histidine are included in this total essential amino acid value because they are essential for infants.",""
"AAE10BN","amino acids, total essential; expressed per quantity of nitrogen; includes the eight basic essential amino acids plus cystine and tyrosine","","mg/g nitrogen","","Cystine and tyrosine are included in this total essential amino acid value because of their sparing effects on methionine and phenylalanine respectively.",""
"AAE10BP","amino acids, total essential; expressed per quantity of protein; includes the eight basic essential amino acids plus cystine and tyrosine","","mg/100 g protein","","Cystine and tyrosine are included in this total essential amino acid value because of their sparing effects on methionine and phenylalanine respectively.",""
"AAE12N","amino acids, total essential; expressed per quantity of nitrogen; includes the eight basic essential amino acids plus arginine, histidine, cystine, and tyrosine","","mg/g nitrogen","ETH, NE, EA","Arginine and histidine are included in this total essential amino acid value because they are essential for infants; cystine and tyrosine are included because of their sparing effects on methionine and phenylalanine respectively.",""
"AAE12P","amino acids, total essential; expressed per quantity of protein; includes the eight basic essential amino acids plus arginine, histidine, cystine, and tyrosine","","mg/100 g protein","","Arginine and histidine are included in this total essential amino acid value because they are essential for infants; cystine and tyrosine are included because of their sparing effects on methionine and phenylalanine respectively.",""
"AAEN-","amino acids, total essential; expressed per quantity of nitrogen; unknown which amino acids are included in the total value","","mg/g nitrogen","","",""
"AAEP-","amino acids, total essential; expressed per quantity of protein; unknown which amino acids are included in the total value","","mg/100 g protein","","",""
"AALB","limiting amino acid; determined through biological experiment","","None (The use of <UNIT/> is prohibited with this tagname since no unit is required for its value.)","","Two pieces of data are associated with the tagname <AALB>. The first is the tagname of the limiting amino acid; the second is a keyword identifying the animal used in the biological experiments which determined the limiting amino acid.",""
"AALC","limiting amino acid; determined through calculation","","None (The use of <UNIT/> is prohibited with this tagname since no unit is required for its value.)","EA","The limiting amino acid is determined by comparing the quantity of each essential amino acid in the food to the quantity of the same amino acid in a reference protein or amino acid mixture. The amino acid found in the lowest ratio is the limiting amino acid. Two data items are associated with tagname <AALB>. The first is the tagname of the limiting amino acid; the second is a keyword identifying the reference protein or amino acid pattern used in calculation of the chemical (amino acid) score.","In the FAO Food Composition Table for Use in East Asia, lysine is listed as the limiting amino acid in sesame seeds. This determination was made through calculations of chemical score using the FAO reference protein pattern recommended in 1973. Therefore, the <AALC> tagname would be used to convey this information in the following manner:\n<AALC> LYS FAO73 </AALC>\nNote# In this example, </AALC> is an end-tag required in interchange format to indicate the end of the information about the limiting amino acid. See the INFOODS Data Interchange Handbook for details on interchange format."
"AASN","amino acids, total sulphur-containing; expressed per quantity of nitrogen","","mg/g nitrogen","NE, EA, SWD","Cystine plus methionine.",""
"AASP","amino acids, total sulphur-containing; expressed per quantity of protein","","mg/100 g protein","","Cystine plus methionine.",""
"AATN","amino acids, total; expressed per quantity of nitrogen","","mg/g nitrogen","ETH, NE, EA","",""
"AATP","amino acids, total; expressed per quantity of protein","","mg/100 g protein","","",""
"ALAN","alanine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA, DAN, SWD","",""
"ALAP","alanine; expressed per quantity of protein","","mg/100 g protein","","",""
"ARGN","arginine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"ARGP","arginine; expressed per quantity of protein","","mg/100 g protein","","",""
"ASNN","asparagine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA","",""
"ASNP","asparagine; expressed per quantity of protein","","mg/100 g protein","","",""
"ASPN","aspartic acid; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA, DAN, SWD","",""
"ASPP","aspartic acid; expressed per quantity of protein","","mg/100 g protein","","",""
"CHEMSC","chemical score","protein score, amino acid score","None (The chemical score should be expressed as a ratio, not as a percentage value. Also, the use of <UNIT/> is prohibited with this tagname since no unit is required.)","ETH, EA","Chemical score is the ratio of the quantity of the limiting amino acid in the food per quantity of this same amino acid in the protein of egg or a standard amino acid reference mixture.","In the FAO Food Composition Table For Use in East Asia, the chemical score for sesame seeds is listed as 58 (this is a percentage: 0.58 x 100). The value was calculated using the 1973 FAO reference protein pattern. This information would be conveyed using the <CHEMSC> tagname in the following"
"CYSN","cystine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"CYSP","cystine; expressed per quantity of protein","","mg/100 g protein","","",""
"DEN","density","","mass per unit volume, unit usually g/cubic cm","","",""
"ENERPA","energy, percent contributed by alcohol","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","",""
"ENERPC","energy, percent contributed by carbohydrate","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","",""
"ENERPF","energy, percent contributed by fat","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","",""
"ENERPP","energy, percent contributed by protein","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","",""
"F4D0F","fatty acid 4:0; expressed per quantity of total fatty acids","butyric acid; tetranoic acid","g/100 g fatty acid","MW, FRN, DAN, SWD","",""
"F5D0F","fatty acid 5:0","","g/100g total fatty acid","","",""
"F6D0F","fatty acid 6:0; expressed per quantity of total fatty acids","caproic acid; hexanoic acid","g/100 g fatty acid","MW, FRN, DAN, SWD","",""
"F8D0F","fatty acid 8:0; expressed per quantity of total fatty acids","caprylic acid; octanoic acid","g/100 g fatty acid","MW, FRN, DAN, SWD","",""
"F10D0F","fatty acid 10:0; expressed per quantity of total fatty acids","capric acid; decanoic acid","g/100 g fatty acid","MW, FRN, DAN, SWD","",""
"F12D0F","fatty acid 12:0; expressed per quantity of total fatty acids","lauric acid; dodecanoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F13D0F","fatty acid 13:0; expressed per quantity of total fatty acids","tridecanoic acid","g/100 g fatty acid","FRN","",""
"F14D0F","fatty acid 14:0; expressed per quantity of total fatty acids","myristic acid; tetradecanoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F15D0F","fatty acid 15:0; expressed per quantity of total fatty acids","pentadecylic acid; pentadecanoic acid","g/100 g fatty acid","FRN, DAN","",""
"F16D0F","fatty acid 16:0; expressed per quantity of total fatty acids","palmitic acid; hexadecanoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F17D0F","fatty acid 17:0; expressed per quantity of total fatty acids","margaric acid; heptadecanoic acid","g/100 g fatty acid","FRN, DAN","",""
"F18D0F","fatty acid 18:0; expressed per quantity of total fatty acids","stearic acid; octadecanoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F19D0F","fatty acid 19:0","","g/100g total fatty acid, nonadecanoic acid","","",""
"F20D0F","fatty acid 20:0; expressed per quantity of total fatty acids","arachidic acid; eicosanoic acid","g/100 g fatty acid","MW, FRN, DAN, SWD","",""
"F21D0F","fatty acid 21:0","","g/100g total fatty acid","","",""
"F22D0F","fatty acid 22:0; expressed per quantity of total fatty acids","behenic acid; docosanoic acid","g/100 g fatty acid","MW, FRN, DAN, SWD","",""
"F23D0F","fatty acid 23:0; expressed per quantity of total fatty acids","tricosanoic acid","g/100 g fatty acid","FRN","",""
"F24D0F","fatty acid 24:0; expressed per quantity of total fatty acids","lignoceric acid; tetracosanoic acid","g/100 g fatty acid","MW, FRN","",""
"F10D1F","fatty acid 10:1; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F12D1F","fatty acid 12:1; expressed per quantity of total fatty acids","lauroleic acid","g/100 g fatty acid","FRN","",""
"F14D1F","fatty acid 14:1; expressed per quantity of total fatty acids","myristoleic acid; tetradecenoic acid","g/100 g fatty acid","FRN, DAN","",""
"F15D1F","fatty acid 15:1; expressed per quantity of total fatty acids","pentadecenoic acid","g/100 g fatty acid","FRN, DAN","",""
"F15D1N9F","fatty acid 15:1 n-9","","g/100g total fatty acid","","",""
"F16D1F","fatty acid 16:1; expressed per quantity of total fatty acids","palmitoleic acid; hexadecenoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F17D1F","fatty acid 17:1; expressed per quantity of total fatty acids","heptadecenoic acid","g/100 g fatty acid","FRN, DAN","",""
"F18D1F","fatty acid 18:1; expressed per quantity of total fatty acids","oleic acid; octadecenoic acid","g/100 g fatty acid","FRN, DAN, SWD","",""
"F18D1N7F","fatty acid 18:1 n-7; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F18D1CN9F","fatty acid 18:1 cis n-9","","g/100g total fatty acid","","",""
"F18D1N9F","fatty acid 18:1 n-9; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F18D1TN9F","fatty acid trans 18:1 n-9; expressed per quantity of total fatty acids","elaidic acid; octadecenoic acid","g/100 g fatty acid","MW, NE, FRN","",""
"F19D1N7F","fatty acid 19:1 n-7","","g/100g total fatty acid","","",""
"F20D1F","fatty acid 20:1; expressed per quantity of total fatty acids","gadoleic acid; eicosenoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F20D1N7F","fatty acid 20:1 n-7","","g/100g total fatty acid","","",""
"F20D1N9F","fatty acid 20:1 n-9","","g/100g total fatty acid","","",""
"F20D1N11F","fatty acid 20:1 n-11","","g/100g total fatty acid","","",""
"F22D1F","fatty acid 22:1; expressed per quantity of total fatty acids","erucic acid; cetoleic acid; docosenoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F22D1CN9F","fatty acid cis 22:1 n-9; expressed per quantity of total fatty acids","erucic acid; docosenoic acid","g/100 g fatty acid","FRN, SWD","",""
"F22D1N9F","fatty acid 22:1 n-9","","g/100g total fatty acid","","",""
"F22D1TN9F","fatty acid trans 22:1 n-9; expressed per quantity of total fatty acids","brassidic acid","g/100 g fatty acid","FRN","",""
"F23D1F","fatty acid 23:1; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F24D1F","fatty acid 24:1; expressed per quantity of total fatty acids","","g/100 g fatty acid","FRN","",""
"F16D2N4F","fatty acid 16:2 n-4","","g/100g total fatty acid","","",""
"F16D2N7F","fatty acid 16:2 n-7","","g/100g total fatty acid","","",""
"F16D3N3F","fatty acid 16:3 n-3","","g/100g total fatty acid","","",""
"F16D3N4F","fatty acid 16:3 n-4","","g/100g total fatty acid","","",""
"F16D4N1F","fatty acid 16:4 n-1","","g/100g total fatty acid","","",""
"F16D4N4F","fatty acid 16:4 n-4","","g/100g total fatty acid","","",""
"F18D2F","fatty acid 18:2; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F18D2CN3F","fatty acid 18:2cis n-3","","g","","",""
"F18D2CN6F","fatty acid cis,cis 18:2 n-6; expressed per quantity of total fatty acids","linoleic acid; octadecadienoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F18D2N4F","fatty acid 18:2 n-4","","g/100g total fatty acid","","",""
"F18D2N6F","fatty acid 18:2, n-6","","g/100g total fatty acid","","",""
"F18D2TN6F","fatty acid 18:2trans n-6","","g/100g total fatty acid","","",""
"F18D2N9F","fatty acid 18:2 n-9","","g/100g total fatty acid","","",""
"F18D3F","fatty acid 18:2; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F18D3N3F","fatty acid 18:3 n-3; expressed per quantity of total fatty acids","alpha-linolenic acid; octadecatrienoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F18D3N6F","fatty acid 18:3 n-6; expressed per quantity of total fatty acids","gamma-linolenic acid","g/100 g fatty acid","FRN","",""
"F18D4F","fatty acid 18:4; expressed per quantity of total fatty acids","parinaric acid; stearidonic acid; octadecatetraenoic acid","g/100 g fatty acid","NE, FRN","",""
"F18D4N3F","fatty acid 18:4 n-3; expressed per quantity of total fatty acids","","g/100 g fatty acid","FRN","",""
"F20D2F","fatty acid 20:2; expressed per quantity of total fatty acids","eicosadienoic acid","g/100 g fatty acid","FRN","",""
"F20D2N6F","fatty acid 20:2 n-6","","g/100g total fatty acid","","",""
"F20D3F","fatty acid 20:3; expressed per quantity of total fatty acids","eicosatrienoic acid","g/100 g fatty acid","FRN, DAN","",""
"F20D3N3F","fatty acid 20:3 n-3","","g/100g total fatty acid","","",""
"F20D3N6F","fatty acid 20:3 n-6","","g/100g total fatty acid, homogammalinolenic","","",""
"F20D3N9F","fatty acid 20:3 n-9","","g/100g total fatty acid","","",""
"F20D4F","fatty acid 20:4; expressed per quantity of total fatty acids","arachidonic acid","g/100 g fatty acid","FRN","",""
"F20D4N3F","fatty acid 20:4 n-3","","g/100g total fatty acid","","",""
"F20D4N6F","fatty acid 20:4 n-6; expressed per quantity of total fatty acids","arachidonic acid; eicosatetraenoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F20D5F","fatty acid 20:5; expressed per quantity of total fatty acids","eicosapentaenoic acid","g/100 g fatty acid","FRN","",""
"F20D5N3F","fatty acid 20:5 n-3; expressed per quantity of total fatty acids","eicosapentaenoic acid; EPA; timnodonic acid","g/100 g fatty acid","NE, FRN, DAN, SWD","",""
"F21D5N3F","fatty acid 21:5 n-3","","g/100g total fatty acid","","",""
"F22D2F","fatty acid 22:2; expressed per quantity of total fatty acids","docosadienoic acid","g/100 g fatty acid","FRN","",""
"F22D3F","fatty acid 22:3; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F22D4F","fatty acid 22:4; expressed per quantity of total fatty acids","docosatetraenoic acid","g/100 g fatty acid","FRN","",""
"F22D4N3F","fatty acid 22:4 n-3","","g/100g total fatty acid","","",""
"F22D5F","fatty acid 22:5; expressed per quantity of total fatty acids","docosapentaenoic acid","g/100 g fatty acid","FRN","",""
"F22D5N3F","fatty acid 22:5 n-3; expressed per quantity of total fatty acids","docosapentaenoic acid","g/100 g fatty acid","NE, FRN, DAN, SWD","",""
"F22D5N6F","fatty acid 22:5 n-6; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F22D6F","fatty acid 22:6; expressed per quantity of total fatty acids","docosahexaenoic acid","g/100 g fatty acid","FRN","",""
"F22D6N3F","fatty acid 22:6 n-3; expressed per quantity of total fatty acids","docosahexaenoic acid; DHA","g/100 g fatty acid","NE, FRN, DAN, SWD","",""
"F24D6","fatty acid 24:6; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F24D6F","fatty acid 24:6 n-6","","g/100g total fatty acid\nNote# this is a correction to 1993 version where terminal F was inadvertantly omitted","","",""
"FAESSF","fatty acids, total essential; expressed per quantity of total fatty acids","","g/100 g","FRN","Linoleic acid plus linolenic acid plus arachidonic acid.",""
"FAFREF","fatty acids, total free; expressed per quantity of total fatty acids","","g/100 g fatty acid","","",""
"FAMSF","fatty acids, total monounsaturated; expressed per quantity of total fatty acids","","g/100 g fatty acid","NE, FRN, DAN, SWD","",""
"FAPUF","fatty acids, total polyunsaturated; expressed per quantity of total fatty acids","","g/100 g fatty acid","NE, FRN, DAN, SWD","",""
"FAPUN3F","fatty acids, total n-3 polyunsaturated; expressed per quantity of total fatty acids","","g/100 g fatty acid","","",""
"FAPUN6F","fatty acids, total n-6 polyunsaturated; expressed per quantity of total fatty acids","","g/100 g fatty acid","","",""
"FASATF","fatty acids, total saturated; expressed per quantity of total fatty acids","","g/100 g fatty acid","NE, FRN, DAN, SWD","",""
"FATRNF","fatty acids, total trans; expressed per quantity of total fatty acids","","g/100 g fatty acid","","",""
"GLNN","glutamine; expressed per quantity of nitrogen","","mg/g nitrogen","","",""
"GLNP","glutamine; expressed per quantity of protein","","mg/100 g protein","","",""
"GLUN","glutamic acid; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA, DAN, SWD","",""
"GLUP","glutamic acid; expressed per quantity of protein","","mg/100 g protein","","",""
"GLYN","glycine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA, DAN, SWD","",""
"GLYP","glycine; expressed per quantity of protein","","mg/100 g protein","","",""
"HISN","histidine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"HISP","histidine; expressed per quantity of protein","","mg/100 g protein","","",""
"HYPN","hydroxyproline; expressed per quantity of nitrogen","","mg/g nitrogen","","",""
"HYPP","hydroxyproline; expressed per quantity of protein","","mg/100 g protein","","",""
"ILEN","isoleucine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"ILEP","isoleucine; expressed per quantity of protein","","mg/100 g protein","","",""
"LEUN","leucine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"LEUP","leucine; expressed per quantity of protein","","mg/100 g protein","","",""
"LYSN","lysine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"LYSP","lysine; expressed per quantity of protein","","mg/100 g protein","","",""
"METN","methionine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"METP","methionine; expressed per quantity of protein","","mg/100 g protein","","",""
"NPR","nitrogen-protein ratio","","None (The use of <UNIT/> is prohibited with this tagname since no unit is required for its value.)","NZ","Determined by dividing total nitrogen by total protein. In most cases, if <PROCNT> (cf.) is used with the <XN> subtag (for documentation purposes there), this value will be the same as the <XN> value.",""
"NPU","net protein utilization","NPU","None (The use of <UNIT/> is prohibited with this tagname since no unit is required for its value.)","USDA 267","Net protein utilization is the proportion of nitrogen intake that is retained. This value is the product of digestibility and the proportion of absorbed nitrogen that is retained (biological value).",""
"PER","protein efficiency ratio","PER","None (The use of <UNIT/> is prohibited with this tagname since no unit is required for its value.)","USDA 229","Protein efficiency ratio is defined as weight gain per weight of protein eaten.",""
"PH","pH, hydrogen ion concentration","","none","","",""
"PHEN","phenylalanine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"PHEP","phenylalanine; expressed per quantity of protein","","mg/100 g protein","","",""
"PRON","proline; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA, DAN, SWD","",""
"PROP","proline; expressed per quantity of protein","","mg/100 g protein","","",""
"SERN","serine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA, DAN, SWD","",""
"SERP","serine; expressed per quantity of protein","","mg/100 g protein","","",""
"TAUN","Taurine","","mg/g nitrogen","","",""
"THRN","threonine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, WTH, NE, EA, DAN, SWD","",""
"THRP","threonine; expressed per quantity of protein","","mg/100 g protein","","",""
"TRPN","tryptophan; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"TRPP","tryptophan; expressed per quantity of protein","","mg/100 g protein","","",""
"TYRN","tyrosine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"TYRP","tyrosine; expressed per quantity of protein","","mg/100 g protein","","",""
"VALN","valine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"VALP","valine; expressed per quantity of protein","","mg/100 g protein","","",""
