code,name,synonyms,unit,tables,comments,examples
"GNSTEIN","genistein","","mcg","","",""
"GNSTIN","genistin","","mcg","","",""
"GNSTINA","acetyl-genistin","","mcg","","",""
"GNSTINM","malonyl-genistin","","mcg","","",""
"GPCHOLN","Glycerophosphocholine","","","","",""
"GUMS","gums","","g","","",""
"HAEM","iron, haem","","mg","","",""
"HEMCEL","hemicellulose","","g","USDA 224, SFK","Includes hexose and pentose.",""
"HEXSN","hexosan","","g","SFK","",""
"HG","mercury","","mcg","USDA 370","",""
"HIS","histidine","","mg","USDA 512, SFK, ETH, NE, EA, DAN, SWD","Includes only L-histidine.",""
"HISTN","histamine","","mg","SFK","",""
"HYP","hydroxyproline","","mg","USDA 521, SFK","Includes only L- hydroxyproline.",""
"ID","iodide","iodine","mcg","USDA 314, SFK, EA, PRC, DAN, SWD","",""
"ILE","isoleucine","","mg","USDA 503, SFK, ETH, NE, EA, DAN, SWD","Includes only L-isoleucine.",""
"INOTL","inositol","","mcg","USDA 422, SFK","",""
"INULN","inulin","","g","","",""
"ISOCAC","isocitric acid","","mg","USDA 241, SFK","",""
"ISOFLVND","total Isoflavonoids","","mcg","","",""
"K","potassium","","mg\nNote# If the value is expressed in millimoles, mmol<NA> must be explicitly stated with the secondary tagname <UNIT/>.","USDA 306, SFK, MW, IND, NE, EA, PRC, DAN, SWD","",""
"LACAC","lactic acid","","mg","USDA 242, SFK","",""
"LACS","lactose","","g","USDA 213, SFK, DAN, SWD","",""
"LACSM","lactose; expressed in monosaccharide equivalents","","g","MW","",""
"LEU","leucine","","mg","USDA 504, SFK, ETH, NE, EA, DAN, SWD","Includes only L-leucine.",""
"LI","lithium","","mcg","USDA 368","",""
"LIGN","lignin","","g","SFK, DAN, SWD","",""
"LUTN","lutein","","mcg","","",""
"LYCPN","lycopene","","mcg","","",""
"LYS","lysine","","mg","USDA 505, SFK, ETH, NE, EA, DAN, SWD","Includes only L-lysine.",""
"MALAC","malic acid","","mg","USDA 243, SFK","",""
"MALS","maltose","","g","USDA 214, SFK, DAN, SWD","",""
"MALSM","maltose; expressed in monosaccharide equivalents","","g","","",""
"MALTRS","maltotriose","","g","","",""
"MALTRSM","maltotriose; expressed in monosaccharide equivalents","","g","","",""
"MANFB","mannose in dietary fibre","","mg","","",""
"MANN","mannan","","g","","",""
"MANTL","mannitol","","mg","USDA 260, SFK","",""
"MET","methionine","","mg","USDA 506, SFK, ETH, NE, EA, DAN, SWD","Includes only L-methionine.",""
"METH","methyl alcohol","methanol","mg","SFK","",""
"MG","magnesium","","mg","USDA 304, SFK, MW, IND, NE, EA, PRC, DAN, SWD","",""
"MGLY","monoglycerides, total","","g","USDA 655","",""
"MN","manganese","","mcg","USDA 315, SFK, EA, PRC, DAN, SWD","",""
"MNSAC","monosaccharides, total","","g","","Includes only the free monosaccharides.",""
"MO","molybdenum","","mcg","USDA 316, SFK, EA, PRC, DAN, SWD","",""
"MUCIL","mucilages","","g","","",""
"NA","sodium","","mg\nNote# If the value is expressed in millimoles, mmol must be explicitly stated with the secondary tagname <UNIT/>.","USDA 307, SFK, MW, IND, NE, EA, PRC, DAN, SWD","",""
"NACL","salt","NACL","mg","USDA 375, SFK","",""
"NAM","nitrogen, amino","","g","","",""
"NHAEM","iron, non-haem","","mg","","",""
"NI","nickel","","mcg","USDA 371, SFK, PRC","",""
"NIA","niacin, preformed","nicotinic acid; nicotinamide (These terms are not true synonyms but are often used in food tables to refer to niacin.)","mg","USDA 406, SFK, MW, ETH, IND, NE, EA, PRC, DAN, SWD","Nicotinic acid and nicotinamide.",""
"NIAAVL","niacin, available","","mg","","total niacin minus bound niacin",""
"NIAEQ","niacin equivalents, total","","mg","USDA 409, DAN, SWD","Preformed niacin plus niacin equivalents from tryptophan.",""
"NIATRP","niacin equivalents from tryptophan","","mg","USDA 407 & 408, MW, DAN","1/60 x tryptophan.",""
"NITRA","nitrates","","mg","USDA 264, SFK","",""
"NITRI","nitrites","","mg","USDA 265, SFK","",""
"NITRN","nitrosamine, total","","mg","USDA 266","",""
"NITRNN","nitrosamine, non-volatile","","mg","","",""
"NITRNV","nitrosamine, volatile","","mg","","Subject of forthcoming regulations.",""
"NNP","nitrogen, non-protein","","mg","","",""
"NPRO","nitrogen, protein","","g","","",""
"NT","nitrogen, total","","g","USDA 202, MW, ETH, EGP, IND, NE, EA","Determined by Kjeldahl method.",""
"OA","organic acids, total","","g","","",""
"OLSAC","oligosaccharides, total available","","g","","",""
"OLSACM","oligosaccharides, total available; expressed in monosaccharide equivalents","","g","","",""
"OXACAC","oxaloacetic acid","","mg","USDA 244, SFK","",""
"OXALAC","oxalic acid","","mg","USDA 245, SFK, IND","",""
"P","phosphorus","","mg","USDA 305, SFK, MW, ETH, EGP, IND, NE, EA, PRC, DAN, SWD","",""
"PANTAC","pantothenic acid","D-pantothenate; vitamin B-5 (obsolete term, may still appear in some tables)","mg","USDA 410, SFK, MW, EA, DAN, SWD","",""
"PARHBAC","parahydrobenzoic acid","","mg","SFK","",""
"PB","lead","","mcg","USDA 367","",""
"PCHOLN","Phosphocholine","","","","",""
"PECT","pectin","","g","USDA 220, SFK, SWD","Reflects AOAC or equivalent procedure. Polymers of galacturonic acid unspecified.\nNote# Additional tagnames will be added, when needed by food composition tables and data bases, to reflect the very large number of polysaccharides present in foods and, specifically, to reflect different degrees of methoxylation in pectic substances.",""
"PENSN","pentosan","","g","USDA 222, SFK","",""
"PHE","phenylalanine","","mg","USDA 508, SFK, ETH, NE, EA, DAN, SWD","Includes only L- phenylalanine.",""
"PHOLIP","phospholipids, total","","g","USDA 603","",""
"PHYSTR","phytosterols, total","total plant sterols","mg","USDA 636","Includes avenasterol, brassicasterol, campesterol, sitosterol, spinasterol, and stigmasterol.",""
"PHYTAC","phytic acid","phytin P","mg","USDA 246, SFK, MW, IND","",""
"PIPN","piperine","","g","USDA 259","",""
"PRO","proline","","mg","USDA 517, SFK, ETH, NE, EA, DAN, SWD","Includes only L-proline.",""
