code,name,synonyms,unit,tables,comments,examples
"F18D1TN9","fatty acid trans 18:1 n-9","elaidic acid; octadecenoic acid","g","SFK, NE, EA, FRN","",""
"F19D1N7","fatty acid 19:1 n-7","","g","","",""
"F20D1","fatty acid 20:1","gadoleic acid; eicosenoic acid","g","USDA 628, NE, PRC, FRN, DAN, SWD","",""
"F20D1N7","fatty acid 20:1 n-7","","g","","",""
"F20D1N9","fatty acid 20:1 n-9","","g","","",""
"F20D1N11","fatty acid 20:1 n-11","","g","","",""
"F22D1","fatty acid 22:1","erucic acid; cetoleic acid; docosenoic acid","g","USDA 630, NE, PRC, FRN, DAN, SWD, NZ","",""
"F22D1N9","fatty acid 22:1 n-9","","g","","",""
"F22D1CN9","fatty acid cis 22:1 n-9","erucic acid; docosenoic acid","g","SFK, FRN, SWD","",""
"F22D1CN11","fatty acid cis 22:1 n-11","cetoleic acid, 11-docosenoic acid","g","","",""
"F22D1TN9","fatty acid trans 22:1 n-9","brassidic acid","g","FRN","",""
"F23D1","fatty acid 23:1","","g","NZ","",""
"F24D1","fatty acid 24:1","selacholeic acid, nervonic acid, tetracosenoic acid","g","FRN","",""
"F24D1C","fatty acid cis 24:1","","g","USDA 671","",""
"F16D2N4","fatty acid 16:2 n-4","","g","","",""
"F16D2N7","fatty acid 16:2 n-7","","g","","",""
"F16D3N3","fatty acid 16:3 n-3","","g","","",""
"F16D3N4","fatty acid 16:3 n-4","","g","","",""
"F16D4N1","fatty acid 16:4 n-1","","g","","",""
"F16D4N4","fatty acid 16:4 n-4","","g","","",""
"F18D2","fatty acid 18:2","","g","USDA 618, NZ","",""
"F18D2CN3","fatty acid 18:2cis n-3","","g","","",""
"F18D2N4","fatty acid 18:2 n-4","","g","","",""
"F18D2N6","fatty acid 18:2, n-6","","g","","",""
"F18D2CN6","fatty acid cis,cis 18:2 n-6","linoleic acid; octadecadienoic acid","g","USDA 675, SFK, NE, EA, PRC, FRN, DAN, SWD","",""
"F18D2TN6","fatty acid 18:2trans n-6","","g","","",""
"F18D2N9","fatty acid 18:2 n-9","","g","","",""
"F18D3","fatty acid 18:3","","g","USDA 619, NZ","",""
"F18D3N3","fatty acid 18:3 n-3","alpha-linolenic acid; octadecatrienoic acid","g","SFK, NE, EA, PRC, FRN, DAN, SWD","",""
"F18D3CN3","fatty acid cis, cis, cis 18:3 n-3","","g","USDA 851","",""
"F18D3N6","fatty acid 18:3 n-6","gamma-linolenic acid","g","FRN","",""
"F18D4","fatty acid 18:4","parinaric acid; stearidonic acid; octadecatetraenoic acid","g","USDA 627, NE, FRN","",""
"F18D4N3","fatty acid 18:4 n-3","","g","FRN","",""
"F20D2","fatty acid 20:2","eicosadienoic acid","g","PRC, FRN","",""
"F20D2N6","fatty acid 20:2 n-6","","g","","",""
"F20D2CN6","fatty acid cis, cis 20:2 n-6","","g","USDA 672","",""
"F20D3","fatty acid 20:3","eicosatrienoic acid","g","USDA 689, FRN, DAN","",""
"F20D3N3","fatty acid 20:3 n-3","","g","","",""
"F20D3N6","fatty acid 20:3 n-6","homogammalinolenic","g","USDA 853","",""
"F20D3N9","fatty acid 20:3 n-9","","g","","",""
"F20D4","fatty acid 20:4","arachidonic acid","g","USDA 620, FRN","",""
"F20D4N3","fatty acid 20:4 n-3","","g","","",""
"F20D4N6","fatty acid 20:4 n-6","arachidonic acid; eicosatetraenoic acid","g","USDA 855, SFK, NE, PRC, FRN, DAN, SWD","",""
"F20D5","fatty acid 20:5","eicosapentaenoic acid","g","FRN","",""
"F20D5N3","fatty acid 20:5 n-3","eicosapentaenoic acid; EPA; timnodonic acid","g","USDA 629, NE, FRN, DAN, SWD","",""
"F21D5N3","fatty acid 21:5 n-3","","g","","",""
"F22D2","fatty acid 22:2","docosadienoic acid","g","FRN","",""
"F22D3","fatty acid 22:3","","g","NZ","",""
"F22D4","fatty acid 22:4","docosatetraenoic acid","g","FRN","",""
"F22D4N3","fatty acid 22:4 n-3","","g","","",""
"F22D5","fatty acid 22:5","docosapentaenoic acid","g","FRN","",""
"F22D5N3","fatty acid 22:5 n-3","docosapentaenoic acid","g","USDA 631, NE, PRC, FRN, DAN, SWD","",""
"F22D5N6","fatty acid 22:5 n-6","","g","NZ","",""
"F22D6","fatty acid 22:6","docosahexaenoic acid","g","FRN","",""
"F22D6N3","fatty acid 22:6 n-3","docosahexaenoic acid; DHA","g","USDA 621, NE, PRC, FRN, DAN, SWD","",""
"F24D6","fatty acid 24:6","","g","NZ","",""
"FACID","fatty acids, total","","g","","Two data items are required for tagname <FACID>: the total quantity of fatty acids and identification of the conversion factor used to calculate this value from the quantity of total fat. If the conversion factor was taken from a table in one of the sources identified by the keywords listed below, the keyword should be used during data interchange. Otherwise, the conversion factor can be explicitly stated within a secondary tagname. It is also acceptable to include both a keyword and the specific conversion factor in the data.",""
"FADT","fatty acids, total double trans","","g","","Some countries are planning actions to limit these acids (not single trans) from foods, e.g., chocolate.",""
"FAESS","fatty acids, total essential","","g","FRN","This value is the sum of linoleic acid, linolenic acid, and arachidonic acid.",""
"FAFRE","fatty acids, total free","","g","USDA 658","",""
"FAMS","fatty acids, total monounsaturated","","g","USDA 645, NE, FRN, DAN, SWD","",""
"FAPU","fatty acids, total polyunsaturated","","g","USDA 646, IND, NE, FRN, DAN, SWD","",""
"FAPUN3","fatty acids, total n-3 polyunsaturated","","g","","",""
"FAPUN6","fatty acids, total n-6 polyunsaturated","","g","","",""
"FASAT","fatty acids, total saturated","","g","USDA 606, SFK, NE, EA, FRN, DAN, SWD","",""
"FAT","fat, total","total lipid","g","USDA 204, SFK, MW, ETH, EGP, IND, NE, EA, PRC, FRN, DAN, SWD","",""
"FATCE","fat, total; derived by analysis using continuous extraction","","g","","The Soxhlet method has often been used to analyse for total fat using continuous extraction. This method tends to underestimate the total fat value of a food.",""
"FATNLEA","total fat by NLEA definition (triglyceride equivalents of fatty acids)","","g","","",""
"FATRN","fatty acids, total trans","","g","USDA 605","",""
"FATRNM","fatty acids, total trans-monoenoic","","g","USDA 693","",""
"FATRNP","fatty acids, total trans-polyenoic","","g","USDA 695","",""
"FD","fluoride","fluorine","mcg","USDA 313, SFK, EA, SWD","",""
"FE","iron, total","","mg","USDA 303, SFK, MW, ETH, IND, NE, EA, PRC, DAN, SWD","Includes both haem and non- haem iron.",""
"FERAC","ferulic acid","","mg","SFK","",""
"FIBAD","fibre; determined by acid detergent method","","g","","Includes cellulose, lignin, and some hemicelluloses.",""
"FIBADC","fibre, acid detergent method, Clancy modification.","","g","NZ","",""
"FIBC","fibre, crude","","g","USDA 206, SFK, ETH, EGP","The crude fibre method of fibre analysis is obsolete.",""
"FIBHEX","hexoses in dietary fibre","","g","DAN","",""
"FIBINS","fibre, water-insoluble","","g","SFK, MW","Sum of insoluble components from the AOAC total dietary fibre method; includes primarily lignin, cellulose, and most of the hemicellulose.\nNote# Values for <FIBINS> may also be obtained by subtracting soluble fibre from total dietary fibre, i.e., by subtracting the value of <FIBSOL> from the value of <FIBTG>.",""
"FIBND","fibre; determined by neutral detergent method","","g","USDA 273","Includes lignin, cellulose, and insoluble hemicellulose.",""
"FIBPEN","pentoses in dietary fibre","","g","USDA 223, DAN","",""
"FIBSOL","fibre, water-soluble","","g","SFK","Sum of soluble components from the AOAC total dietary fibre method; includes primarily algal polysaccharides, gums, pectins, and mucilages.",""
"FIBTG","fibre, total dietary; determined gravimetrically by the AOAC total dietary fibre method","","g","SFK","Sum of the water-soluble components and the water-insoluble components of dietary fibre; can be calculated by adding the values of <FIBSOL> and <FIBINS>; includes all non- starch polysaccharides and lignin.",""
"FIBTS","fibre, total dietary; sum of non- starch polysaccharide components and lignin","","g","","Sum of the polysaccharide components of dietary fibre measured sequentially on the same sample (for example, by using the Southgate colorimetric procedure) plus lignin measured gravimetrically.",""
"FIBTSW","fibre, total dietary; Wenlock modification","","g","NZ","",""
"FIB-","fibre; method of determination unknown or variable","","g\nNote# Tagname <FIB-> is used to identify fibre values which represent unknown fibre components or which were obtained by unknown methods or a mixture of methods.","","",""
"FOL","folate, total","folacin; folic acid","mcg","USDA 417, SFK, MW, ETH, IND, EA, DAN, SWD","Includes both conjugated and free folate.",""
"FOLAC","folic acid, synthetic folic acid","","mcg","USDA 431","",""
"FOLFD","folate food, naturally occuring food folates","","mcg","USDA 432","",""
"FOLDFE","folate, dietary folate equivalents","","mcg DFE","USDA 435","folate total = mcg food folate + (1.7 X mcg folic acid)",""
"FOLFRE","folate, free","","mcg","USDA 419, MW, IND, DAN","",""
"FRUFB","fructose in dietary fibre","","mg","","",""
"FRUS","fructose","","g","USDA 212, SFK, DAN, SWD","D-fructose only; includes only the free monosaccharide.",""
"FRUTN","fructan","","g","","",""
"FUCSTR28","28-iso-fucosterol","","mg","","",""
"FUMAC","fumaric acid","","mg","USDA 237, SFK","",""
"GALAAC","galacturonic acid","","mg","USDA 238, SFK","",""
"GALFB","galactose in dietary fibre","","mg","","",""
"GALLAC","gallic acid","","mg","USDA 239, SFK","",""
"GALS","galactose","","g","SFK","Includes only the free monosaccharide.",""
"GALTN","galactan","","g","","",""
"GLN","glutamine","","mg","SFK","Includes only L-glutamine.",""
"GLOB","globulin","","mg","","",""
"GLU","glutamic acid","","mg","USDA 515, SFK, ETH, NE, EA, DAN, SWD","Includes only L-glutamic acid.",""
"GLUAKAC","alpha-keto-glutaric acid","","mg","SFK","",""
"GLUCAC","gluconic acid","","mg","SFK","",""
"GLUCNB","betaglucan","","g","","",""
"GLUFB","glucose in dietary fibre","","mg","","",""
"GLUMN","glucomannan","","g","","",""
"GLUS","glucose","","g","USDA 211, SFK, DAN, SWD","D-glucose only; includes only the free monosaccharide.",""
"GLUTN","gluten","","mg","","",""
"GLY","glycine","","mg","USDA 516, SFK, ETH, NE, EA, DAN, SWD","Includes only L-glycine.",""
"GLYC","glycogen","","g","USDA 272, SFK","",""
"GLYCERA","glycerides, total; determined by analysis","","g","","",""
"GLYCERC","glycerides, total; calculated from fatty acid composition","","g","","",""
"GLYCER-","glycerides, total; method of determination unknown or variable","","g","","",""
"GLYCLAC","glycolic acid","","mg","USDA 240, SFK","",""
"GLYCM","glycogen; expressed in monosaccharide equivalents","","g","","",""
"GLYCTEIN","glycitein","","","","",""
"GLYCTN","glycitin","","mcg","","",""
"GLYCTNA","acetyl-glycitin","","mcg","","",""
"GLYCTNM","malonyl-glycitin","","mcg","","",""
"GLYLIP","glycolipids, total","","g","USDA 604","",""
"GLYRL","glycerol","","mg","SFK","",""
"GNSTEIN","genistein","","mcg","","",""
"GNSTIN","genistin","","mcg","","",""
"GNSTINA","acetyl-genistin","","mcg","","",""
"GNSTINM","malonyl-genistin","","mcg","","",""
"GPCHOLN","Glycerophosphocholine","","","","",""
"GUMS","gums","","g","","",""
"HAEM","iron, haem","","mg","","",""
"HEMCEL","hemicellulose","","g","USDA 224, SFK","Includes hexose and pentose.",""
"HEXSN","hexosan","","g","SFK","",""
"HG","mercury","","mcg","USDA 370","",""
"HIS","histidine","","mg","USDA 512, SFK, ETH, NE, EA, DAN, SWD","Includes only L-histidine.",""
"HISTN","histamine","","mg","SFK","",""
"HYP","hydroxyproline","","mg","USDA 521, SFK","Includes only L- hydroxyproline.",""
"ID","iodide","iodine","mcg","USDA 314, SFK, EA, PRC, DAN, SWD","",""
"ILE","isoleucine","","mg","USDA 503, SFK, ETH, NE, EA, DAN, SWD","Includes only L-isoleucine.",""
"INOTL","inositol","","mcg","USDA 422, SFK","",""
"INULN","inulin","","g","","",""
"ISOCAC","isocitric acid","","mg","USDA 241, SFK","",""
"ISOFLVND","total Isoflavonoids","","mcg","","",""
"K","potassium","","mg\nNote# If the value is expressed in millimoles, mmol<NA> must be explicitly stated with the secondary tagname <UNIT/>.","USDA 306, SFK, MW, IND, NE, EA, PRC, DAN, SWD","",""
"LACAC","lactic acid","","mg","USDA 242, SFK","",""
"LACS","lactose","","g","USDA 213, SFK, DAN, SWD","",""
"LACSM","lactose; expressed in monosaccharide equivalents","","g","MW","",""
"LEU","leucine","","mg","USDA 504, SFK, ETH, NE, EA, DAN, SWD","Includes only L-leucine.",""
"LI","lithium","","mcg","USDA 368","",""
"LIGN","lignin","","g","SFK, DAN, SWD","",""
"LUTN","lutein","","mcg","","",""
"LYCPN","lycopene","","mcg","","",""
"LYS","lysine","","mg","USDA 505, SFK, ETH, NE, EA, DAN, SWD","Includes only L-lysine.",""
"MALAC","malic acid","","mg","USDA 243, SFK","",""
"MALS","maltose","","g","USDA 214, SFK, DAN, SWD","",""
"MALSM","maltose; expressed in monosaccharide equivalents","","g","","",""
"MALTRS","maltotriose","","g","","",""
"MALTRSM","maltotriose; expressed in monosaccharide equivalents","","g","","",""
"MANFB","mannose in dietary fibre","","mg","","",""
"MANN","mannan","","g","","",""
"MANTL","mannitol","","mg","USDA 260, SFK","",""
"MET","methionine","","mg","USDA 506, SFK, ETH, NE, EA, DAN, SWD","Includes only L-methionine.",""
"METH","methyl alcohol","methanol","mg","SFK","",""
"MG","magnesium","","mg","USDA 304, SFK, MW, IND, NE, EA, PRC, DAN, SWD","",""
"MGLY","monoglycerides, total","","g","USDA 655","",""
"MN","manganese","","mcg","USDA 315, SFK, EA, PRC, DAN, SWD","",""
"MNSAC","monosaccharides, total","","g","","Includes only the free monosaccharides.",""
"MO","molybdenum","","mcg","USDA 316, SFK, EA, PRC, DAN, SWD","",""
"MUCIL","mucilages","","g","","",""
